  	type_no        	serial  	calib_no	slope     	offset    	corrcoeff 	filename
WS	4.3352.10.000  	01246749	25443   	0.04566   	0.2534    	0.999972  	25443_01246749.pdf
WS	4.3352.10.000  	01246750	25444   	0.04575   	0.2341    	0.999985  	25444_01246750.pdf
WS	4.3352.10.000  	01246751	25445   	0.04583   	0.2220    	0.999991  	25445_01246751.pdf
WS	4.3352.10.000  	01246752	25528   	0.04581   	0.2388    	0.999989  	25528_01246752.pdf
WS	4.3352.10.000  	01246753	25529   	0.04583   	0.2368    	0.999986  	25529_01246753.pdf
WS	4.3352.10.000  	01246754	25530   	0.04586   	0.2233    	0.999988  	25530_01246754.pdf
WS	4.3352.10.000  	01246755	25531   	0.04591   	0.2237    	0.999994  	25531_01246755.pdf
WS	4.3352.10.000  	01246756	25532   	0.04581   	0.2370    	0.999986  	25532_01246756.pdf
WS	4.3352.10.000  	01246757	25533   	0.04584   	0.2310    	0.999995  	25533_01246757.pdf
WS	4.3352.10.000  	01246758	25534   	0.04577   	0.2363    	0.999988  	25534_01246758.pdf
